Aladdin;0;TRUE;TRUE;1992;87;Animação;Images\5601887465248.15F.jpg
Albert Nobbs;0;FALSE;TRUE;2011;113;Drama;Images\5606320028479.15F.jpg
Aldeia da Roupa Branca;0;TRUE;TRUE;1938;84;0;Images\5606699506943.15F.jpg
Alexandre o Grande;Alexander;TRUE;TRUE;2004;107;0;Images\5601887470839.15F.jpg
Ali;0;TRUE;TRUE;2001;151;Drama;Images\5602193310260.15F.jpg
Ali Baba;0;TRUE;TRUE;0;0;0;Images\M7.15F.jpg
Alta Traição;No Way Out;TRUE;TRUE;1987;110;Suspense/Thriller;Images\5600304176996.15F.jpg
Altos Voos;View from the top;TRUE;TRUE;2003;83;Comédia;Images\5608652021159.15F.jpg
Alvo em Movimento;A View to a Kill;TRUE;TRUE;1985;126;Acção;Images\IA72164A3BA5D8B22.15F.jpg
Alvo Marcado;Rabbit on the Moon;TRUE;TRUE;2004;109;0;Images\4042564017335.5F.jpg
Amar em Nova Iorque;Autumn in New York;TRUE;TRUE;2000;101;Romance;Images\5601887428236.15F.jpg
Amargo Amanhecer;Come Early Morning;TRUE;TRUE;2006;93;Romance;Images\5600304177948.15F.jpg
América Proibida;American History X;TRUE;TRUE;1998;114;Drama;Images\5602193303606.15F.jpg
American Pie - A Primeira Vez;American Pie;TRUE;TRUE;1999;92;Comédia;Images\5601887426409.15F.jpg
American Splendor;0;TRUE;TRUE;2003;101;0;Images\5606699506073.15F.jpg
Amigos Com Dinheiro;Friends With Money;TRUE;TRUE;2006;84;Comédia;Images\8414533042970.15F.jpg
Amor e Mentiras;Something to Talk About;FALSE;TRUE;1995;101;Comédia;Images\5600304179300.15F.jpg
Amor numa pequena cidade;I'm Reed Fish;TRUE;TRUE;2006;93;Romance;Images\025195015431F.jpg
Amor por acaso;Love Happens;TRUE;TRUE;2009;109;Comédia;Images\5600304213981.15F.jpg
Amor Sem Aviso;Two Weeks Notice;FALSE;TRUE;2002;97;Comédia;Images\7321976234187.15F.jpg
Amor sem Fronteiras;Beyond Borders;TRUE;TRUE;2003;122;0;Images\5601887464388.15F.jpg
Angelina Bailarina;0;TRUE;TRUE;0;0;0;Images\M5.15F.jpg
Animais Unidos Jamais Serão Vencidos;Konferenz der Tiere;TRUE;TRUE;2010;89;Animação;Images\7898023246979.23F.jpg
Animatrix;The Animatrix;TRUE;TRUE;2003;89;0;Images\7321976373169.15F.jpg
Anjos Caídos;State of Grace;TRUE;TRUE;1990;129;Suspense/Thriller;Images\5600304176989.15F.jpg
Anjos e Demónios;Angels & Demons;TRUE;TRUE;2009;140;Suspense/Thriller;Images\8414533063425.15F.jpg
Anna Karenina;0;TRUE;TRUE;1997;103;Drama;Images\5601887430604.15F.jpg
Ano Novo, Vida Nova;New Year's Eve;FALSE;TRUE;2011;118;Romance;Images\7892110134750.23F.jpg
Antwone Fisher;0;FALSE;TRUE;2002;120;Drama;Images\5600304164412.15F.jpg
Ao Serviço de Sua Majestade;On Her Majesty's Secret Service;TRUE;TRUE;1969;136;Acção;Images\I69A04C9AA32030DF.15F.jpg
Apanha-me Se Puderes;Catch Me If You Can;TRUE;TRUE;2002;135;Drama;Images\5601887492909.15F.jpg
Apenas Amigos;Just Friends;FALSE;TRUE;2005;90;0;Images\5602193330770.15F.jpg
Apocalypse Now: Redux;Apocalypse Now;TRUE;TRUE;1979;194;0;Images\5601887439249.15F.jpg
Apollo 13;0;TRUE;TRUE;1995;135;Drama;Images\I907104A68C51F0E3.15F.jpg
Aposta de Risco;Two for the Money;TRUE;TRUE;2005;123;0;Images\5601887484706.15F.jpg
Aritmética Emocional;Emotional Arithmetic;FALSE;TRUE;2007;99;Drama;Images\ID798E85F85528831.15F.jpg
Arma Biológica;The Enemy;TRUE;TRUE;2001;90;0;Images\5608652013758.15F.jpg
Arma Mortífera 4;Lethal Weapon 4;TRUE;TRUE;1998;122;Acção;Images\5606376506914.15F.jpg
As Asas do Desejo;Der Himmel über Berlin;TRUE;TRUE;1987;122;Drama;Images\ICD1692F64F54CE71.15F.jpg
As Aventuras de Blueberry;Blueberry;TRUE;TRUE;2004;119;Western;Images\5608652026574.15F.jpg
As Aventuras De Mowgli;0;TRUE;TRUE;0;0;0;Images\M9.15F.jpg
As Aventuras de Peter Pan;Peter Pan;TRUE;TRUE;1953;75;Animação;Images\5601887490073.15F.jpg
As Aventuras de Tintim: A Ilha Negra;Les Aventures de Tintin: L'Ile Noire;TRUE;TRUE;1990;40;0;Images\5605189006604.15F.jpg
As Aventuras de Tintim: O Ceptro de Ottokar;Les Aventures de Tintin: Le Sceptre D'Ottokar;TRUE;TRUE;1990;50;0;Images\I5F65E5490130B92A.15F.jpg
As Aventuras de Tintim: Objetivo Lua;0;TRUE;TRUE;0;0;0;Images\5602227301844.15F.jpg
As Aventuras De Tintim: Pisando a Lua;0;TRUE;TRUE;0;0;0;Images\M10.15F.jpg
As aventuras de Tintim: Tintim no Tibete;0;TRUE;TRUE;2003;41;Aventura;Images\3309450018694.8F.jpg
As Aventuras Do Pica-pau;0;TRUE;TRUE;0;0;0;Images\M11.15F.jpg
As Aventuras do Tigre;The Tigger Movie;TRUE;TRUE;2000;77;Animação;Images\5601887410651.15F.jpg
As bandeiras dos nossos pais;Flags of Our Fathers;TRUE;TRUE;2006;132;Guerra;Images\7321974121618.15F.jpg
As Confissões de Schmidt;About Schmidt;TRUE;TRUE;2002;120;Comédia;Images\5608652018210.15F.jpg
As Duas Feras;Bringing up Baby;TRUE;TRUE;1938;102;Comédia;Images\I40E2855E5D4A3E71.15F.jpg
As Férias do Sr. Hulot;Les vacances de Monsieur Hulot;TRUE;TRUE;1953;83;Comédia;Images\5606699505281.15F.jpg
As Horas;The Hours;TRUE;TRUE;2002;112;Drama;Images\5608652020039.15F.jpg
As Irmãs de Maria Madalena;The Magdalene Sisters;TRUE;TRUE;2002;115;Drama;Images\I0BBB3DBF5F646868.15F.jpg
As Leis da Atracção;Laws of Attraction;FALSE;TRUE;2004;87;Comédia;Images\5602193341950.15F.jpg
As Minas do Rei Salomão;King Solomon's Mines;TRUE;TRUE;2004;169;0;Images\5601887464319.15F.jpg
As Paixões de Júlia;Being Julia;TRUE;TRUE;2004;99;Drama;Images\5608652027076.15F.jpg
