Title,Original Title,Seen,Original DVD,Production Year,Running Time,Genre,Cover Image Front
Amor e Mentiras,Something to Talk About,FALSE,TRUE,1995,101,Comédia,Z:\Databases\DVD_1\Images\5600304179300.15F.JPG
Amor numa pequena cidade,I'm Reed Fish,TRUE,TRUE,2006,93,Romance,Z:\Databases\DVD_1\Images\025195015431F.JPG
Amor por acaso,Love Happens,TRUE,TRUE,2009,109,Comédia,Z:\Databases\DVD_1\Images\5600304213981.15F.JPG
Amor Sem Aviso,Two Weeks Notice,FALSE,TRUE,2002,97,Comédia,Z:\Databases\DVD_1\Images\7321976234187.15F.JPG
Amor sem Fronteiras,Beyond Borders,TRUE,TRUE,2003,122,,Z:\Databases\DVD_1\Images\5601887464388.15F.JPG
Angelina Bailarina,,TRUE,TRUE,0,0,,Z:\Databases\DVD_1\Images\M5.15F.JPG
Animais Unidos Jamais Serão Vencidos,Konferenz der Tiere,TRUE,TRUE,2010,89,Animação,Z:\Databases\DVD_1\Images\7898023246979.23F.JPG
Animatrix,The Animatrix,TRUE,TRUE,2003,89,,Z:\Databases\DVD_1\Images\7321976373169.15F.JPG
Anjos Caídos,State of Grace,TRUE,TRUE,1990,129,Suspense/Thriller,Z:\Databases\DVD_1\Images\5600304176989.15F.JPG
Anjos e Demónios,Angels & Demons,TRUE,TRUE,2009,140,Suspense/Thriller,Z:\Databases\DVD_1\Images\8414533063425.15F.JPG
Anna Karenina,,TRUE,TRUE,1997,103,Drama,Z:\Databases\DVD_1\Images\5601887430604.15F.JPG
"Ano Novo, Vida Nova",New Year's Eve,FALSE,TRUE,2011,118,Romance,Z:\Databases\DVD_1\Images\7892110134750.23F.JPG
Antwone Fisher,,FALSE,TRUE,2002,120,Drama,Z:\Databases\DVD_1\Images\5600304164412.15F.JPG
Ao Serviço de Sua Majestade,On Her Majesty's Secret Service,TRUE,TRUE,1969,136,Acção,Z:\Databases\DVD_1\Images\I69A04C9AA32030DF.15F.JPG
Apanha-me Se Puderes,Catch Me If You Can,TRUE,TRUE,2002,135,Drama,Z:\Databases\DVD_1\Images\5601887492909.15F.JPG
Apenas Amigos,Just Friends,FALSE,TRUE,2005,90,,Z:\Databases\DVD_1\Images\5602193330770.15F.JPG
